no_penyakit,nama_penyakit,deskripsi_penyakit,tingkat_keparahan,alasan
AP01,Busuk daun jamur,Daun bercak basah titik kecil berwarna gelap. Daun terinfeksi menguning dan mengalami pembusukan. Penguningan meluas. pertumbuhan jamur atau bintik putih pada permukaan daun. mengalami penurunan kesehatan dan produktivitas. Mempengaruhi hasil panen dan kualitas tanaman,Tingkat Sedang,"Mungkin menyebabkan kerusakan pada beberapa daun tanaman, tetapi tidak seluruh tanaman terpengaruh."
AP02,Karat,muncul bercak karat. titik kecil berwarna oranye atau coklat. bercak berkembang menjadi lesi besar terlihat seperti serbuk karat. Menyebar ke tanaman lain melalui angin atau percikan air. mengalami penurunan kesehatan dan produktivitas. menghambat pertumbuhan tanaman. mengurangi kualitas hasil dan nilai ekonomi tanaman.,Tingkat Parah,Rust sering menyebar dengan cepat dan dapat menyebabkan kerusakan serius pada daun dan batang tanaman.
SP01,Busuk daun ,tulang daun terjadi bercak bersudut. berwarna hijau muda pucat sampai kuning. permukaan bawah daun berbentuk kapang atau jamur putih. daun terinfeksi saling berhubungan dan menjadi bercak coklat besar. Ujung cabang melebar sperti cakram mirip piring keluar. Penyebaran terbawa oleh angin dan membentuk waktu malam. Infeksi terjadi melalui mulut kulit. Berkembang pada kelembaban udara tinggi seperti kabut dan embun.,Tingkat Sedang,"Mungkin menyebabkan kerusakan pada beberapa daun, tetapi tidak seluruh tanaman terpengaruh."
SP02,Busuk Rhizoctonia,"Tanaman mendekati masak, daun tua di atas tanah terinfeksi, tangkai dan tulang daun induk terjadi bercak coklat yang mengendap. Helaian daun membusuk menjadi coklat berlendir. seluruh tanaman menjadi seperti lendir. jika cuaca kerung tanaman busuk mengering menjadi hitam. jamur tanah seperti rumah laba-laba yang banyak tetes embun bergantungan.",Tingkat Parah,"Busuk Rhizoctonia dapat menyebabkan busuk pada akar dan batang tanaman, mempengaruhi pertumbuhan dan kesehatan tanaman."
SP03,Bercak daun,gejala tampak sebagai bercak kecil kebasahan pada tepi daun. bercak menyebar ke dalam dan jaringan menjadi kecoklatan. bercak terdapat banyak titik hitam terdiri jamur penyebab penyakit. Terdapat jamur seperti jarum dan membengkok. Terdapat jamur berwarna berbentuk terbalik dan silindris. ,Tingkat Ringan,"Tingkat keparahan bercak daun tergantung pada jenisnya. Pada tingkat parah, dapat menyebabkan gugur daun yang signifikan."
SP04,Busuk daun abu,Busuk daun disebabkan oleh jamur atau bakteri. Daun menguning. Muncul lendir. Daun membusuk. Bercak basah. Memiliki are lembab dan berair. Pembusukan. Pertumbuhan jamur berwarna gelap. Jamur patogen tumbuh baik di tempat lembab. Kelembaban tinggi. Penyakit busuk. Serangga pembawa patogen. Kerusakan struktur daun. Mengurangi keindahan atau estetika. Penurunan hasil panen. Rentan terhadap serangan penyakit lain.,Tingkat Sedang,Busuk daun abu dapat menyebabkan kerusakan pada daun dan mempengaruhi pertumbuhan tanaman.
SP05,Busuk daun Choanephora,"Pertumbuhan jamur Choanephora cucurbitarium. Jamur berkembang cepat pada daun lembab, setelah periode hujan atau kelmbaban tinggi. membentuk spora tampak seperti benang dan berwarna hitam atau gelap. muncul pada bagian terinfeksi. mengalami bercak basah yang awalnya muncul titik kecil berwarna gelap. seriring waktu bercak berkembang menjadi lesi besar. daun terinfeksi menjadi busuk, lunak dan lembek. menyebabkan penurunan kesehatan, fotosintesis terganggu dan tanaman mengalami stres akibat infeksi. ",Tingkat Parah,"Busuk daun choanephora dapat menyebabkan busuk pada bunga dan buah, mengakibatkan kerugian hasil panen."
SP06,Bercak daun stemphylium,gejala awal sebagai bercak coklat atau abu-abu. bercak memiliki tepi yang tidak teratur. seiring waktu bercak melebar dan menyebabkan pengguguran daun. daun terinfeksi kering dan mati. kondisi lingkungan yang memiliki kelembaban tinggi dan suhu hangat memungkinkan jamur Stemphylium berkembang biak baik dan menyebabkan infeksi.,Tingkat Parah,Bercak daun stemphylium dapat menyebabkan bercak pada daun dan mengurangi luas daun yang sehat.
SP07,Busuk bakteri,gejala awal busuk dan pelunakan pada jaringan tanaman terutama yang tua. jaringan terinfeksi berwarna gelap atau hitam yang melibatkan pangkal batang atau daun. terinfeksi oleh bakteri penyebab busuk bakteri yang menghasilkan bau busuk yang khas. aktivitas bakteri dan proses penguraian jaringan tanaman. lesi basah dan berair dapat muncul pada daun. lesi atau kusam berkembang dengan cepat dan menjadi busuk. mengalami penurunan kesegaran dan kesehatan. memengaruhi pertumbuhan tanaman dan kualitas hasil.,Tingkat Sedang,Busuk bakteri dapat menyebar dengan cepat dan menyebabkan kerusakan yang signifikan pada berbagai bagian tanaman.
SP08,Mosaik,"munculnya pola mosaik. pola seperti berck berwarna terang dan gelap membentuk pola tidak teratur. tanaman terinfeksi turnip mosaic virus mengalami kerdil atau pengecilan dan deformasi. pertumbuhan tanaman terhambat, daun yang tumbuh dapat menunjukkan gejala mosaik. daun terinfeksi mengalami curling atau penjuluran pada tepiannya. beberapa kasus infeksi virus menyebabkan nekrosis (kematian jaringan) yang memperburuk kondisi tanaman. virus ditularkan melalui vektor seperti kutu atau benih yang terinfeksi. kutu menghisap getah tanaman yang terinfeksi dan mengalirkan virus ke tanaman yang sehat",Tingkat Ringan,"Tingkat keparahan mosaik dapat bervariasi. Pada tingkat parah, dapat menyebabkan deformasi daun dan menghambat pertumbuhan tanaman."
